epoch,train_loss,eval_loss,eval_top1,eval_top5
0,4.616805003239558,4.617992775726318,1.37,5.67
1,4.599002552032471,4.538204350280762,3.04,12.03
2,4.57368079209939,4.476181128692627,4.0,16.13
3,4.551381040230775,4.409055445098877,4.8,17.87
4,4.529423312651805,4.321246653747559,5.42,20.76
5,4.504071648915609,4.260455836486816,6.75,22.72
6,4.483471222412892,4.17678127746582,7.11,25.37
7,4.46867194542518,4.1296456489562985,8.1,27.39
8,4.453012581360646,4.091817810058593,8.77,28.27
9,4.442931275490003,4.034680674743653,10.23,32.0
10,4.429456023680858,3.977851636505127,11.09,32.71
11,4.428958420875745,3.980637042617798,11.31,33.33
12,4.411909220768855,3.936345917892456,12.02,35.53
13,4.414767905993339,3.8916471733093263,12.23,35.65
14,4.402261467469044,3.863903765487671,12.56,36.47
15,4.394687689267672,3.846981763458252,12.91,37.29
16,4.387141616527851,3.78434734954834,14.06,38.99
17,4.377737612602038,3.7863720916748047,13.51,39.38
18,4.3715108749194025,3.7344573612213137,15.46,41.34
19,4.363812793829502,3.7592392375946044,14.97,40.16
20,4.3649272111745985,3.7672768005371093,13.82,38.78
21,4.365804388584235,3.7441793102264405,15.72,40.21
22,4.362899697132599,3.7528804897308348,14.44,39.43
23,4.339571299919715,3.640801907348633,15.93,42.0
24,4.361538121639154,3.643953018951416,16.92,42.48
25,4.357197384956556,3.731160005950928,16.25,41.19
26,4.34350915321937,3.6822622428894043,17.0,42.54
27,4.343634008749937,3.645157995605469,16.22,42.6
28,4.343831712771685,3.659571706008911,16.52,43.1
29,4.3373491116059135,3.7004834465026857,16.37,42.85
30,4.3209042280148235,3.541068690109253,19.41,46.9
31,4.329717372013972,3.604453392791748,17.88,44.94
32,4.328340875185453,3.5380679374694823,18.74,45.7
33,4.338065296564347,3.5614276420593263,17.94,44.5
34,4.321642606686323,3.6150702911376955,17.19,42.76
35,4.3104907500438205,3.5543115882873537,18.37,45.37
36,4.332805831615741,3.5901159408569336,18.48,44.9
37,4.321575959523519,3.540922275924683,18.9,46.12
38,4.305669114528558,3.4640532455444335,19.48,46.34
39,4.313767902667706,3.567962905883789,18.41,45.71
40,4.305939512986403,3.501173458099365,19.09,47.21
41,4.316493088159806,3.5577030128479006,18.38,46.81
42,4.292916586460211,3.501339204788208,20.53,49.08
43,4.297872751187056,3.447247123336792,19.49,47.15
44,4.304803430117094,3.5529410579681397,19.48,47.37
45,4.298566096868271,3.4165422145843505,21.26,49.37
46,4.2824477831522625,3.4078445442199707,22.01,50.92
47,4.296742187402187,3.460031832885742,21.05,49.75
48,4.274615583664332,3.4377623813629152,20.24,48.81
49,4.274530007289006,3.425743445968628,22.2,50.42
50,4.282375390713032,3.473700555038452,20.51,49.65
51,4.298635496237339,3.470887174987793,22.24,50.61
52,4.26840453636952,3.3843629146575926,22.17,50.65
53,4.284933547484569,3.3796070964813234,20.33,47.9
54,4.292242116194505,3.352907961654663,22.73,51.08
55,4.270715778301923,3.3147004150390624,23.56,53.72
56,4.281385975617629,3.3498169914245604,21.85,50.95
57,4.274621139428555,3.3635684593200685,22.8,51.67
58,4.264741255686833,3.311157220840454,23.6,53.41
59,4.262669118245443,3.3144047103881835,24.0,53.36
60,4.271486639365172,3.333674840545654,22.61,50.37
61,4.2678629740690575,3.399467414474487,21.7,51.31
62,4.252502839993208,3.378265366744995,21.21,50.05
63,4.268145635800484,3.3950737533569337,21.49,49.9
64,4.26106079297188,3.2980134521484374,23.82,53.98
65,4.244665594590016,3.3684425224304197,22.98,51.6
66,4.253060090236175,3.3240374168395994,23.26,53.16
67,4.251212129837428,3.2703329620361328,25.12,54.71
68,4.233595191515409,3.24743201751709,24.58,53.92
